DVnston,dvnston,c,UNRECOGNIZED,0
a,a,s,SenseObject,0
King,king,s,SenseObject,1
to,to,s,,0
govern,govern,s,ReportingEvents,0
them,them,c,,0
",",",",n,,0
Your,your,s,DirectAddress,0
life,life,s,DirectAddress,1
may,may,s,Contingency,0
be,be,s,Contingency,1
a,a,s,Contingency,2
Lantern,lantern,s,SenseObject,0
to,to,s,SceneShift,0
the,the,s,SceneShift,1
state,state,c,SceneShift,2
",",",",n,,0
By,by,s,,0
perfect,perfect,s,StandardsPos,0
sign,sign,s,Support,0
of,of,s,Support,1
humility,humility,c,SubjectivePercept,0
.,.,n,Question,0
How,how,s,Question,1
blessed,blessed,s,StandardsPos,0
had,had,s,ProjectBack,0
Sodom,sodom,s,UNRECOGNIZED,0
been,been,s,ProjectBack,0
in,in,s,SpaceRelation,0
sight,sight,s,SpaceRelation,1
of,of,s,SpaceRelation,2
God,god,c,CommonAuthorities,0
",",",",n,,0
If,if,s,Contingency,0
they,they,s,Contingency,1
had,had,s,Contingency,2
had,had,s,ProjectBack,0
so,so,s,,0
kind,kind,s,Positivity,0
a,a,s,CommonAuthorities,0
Governor,governor,c,CommonAuthorities,1
",",",",n,,0
They,they,s,ProjectBack,0
had,had,s,ProjectBack,1
then,then,s,,0
undoubtedly,undoubtedly,s,Confidence,0
e^capt,e^capt,s,UNRECOGNIZED,0
that,that,s,,0
doom,doom,c,Negativity,0
",",",",n,,0
That,that,s,,0
God,god,s,CommonAuthorities,0
in,in,s,StandardsPos,0
justice,justice,s,StandardsPos,1
did,did,s,ReportingEvents,0
inflict,inflict,s,Negativity,0
on,on,s,Negativity,1
them,them,c,,0
:,:,n,,0
Then,then,s,,0
England,england,s,,0
kneel,kneel,s,Motions,0
upon,upon,s,,0
thy,thy,s,DirectAddress,0
hearty,hearty,s,Positivity,0
knee,knee,c,SenseObject,0
",",",",n,,0
And,and,s,,0
praise,praise,s,StandardsPos,0
that,that,s,,0
God,god,c,CommonAuthorities,0
",",",",s,,0
that,that,s,,0
so,so,s,,0
prouides,prouides,s,UNRECOGNIZED,0
for,for,s,,0
thee,thee,c,DirectAddress,0
.,.,n,DirectAddress,0
And,and,s,DirectAddress,1
virtuous,virtuous,s,StandardsPos,0
Prince,prince,c,PersonProperty,0
",",",",s,,0
thou,thou,s,DirectAddress,0
Solomon,solomon,s,,0
of,of,s,Inclusive,0
our,our,s,Inclusive,1
age,age,c,Specifiers,0
",",",",n,,0
Whose,whose,s,PersonPronoun,0
years,years,s,TimeDuration,0
I,i,s,SelfDisclosure,0
hope,hope,s,SelfDisclosure,1
shall,shall,s,ProjectAhead,0
double,double,s,,0
Nestors,nestors,s,UNRECOGNIZED,0
reign,reign,c,CommonAuthorities,0
",",",",n,,0
And,and,s,,0
bring,bring,s,,0
a,a,s,,0
thousand,thousand,s,Numbers,0
profits,profits,s,AbstractConcepts,0
to,to,s,,0
the,the,s,SenseObject,0
land,land,c,SenseObject,1
:,:,n,,0
My,my,s,FirstPer,0
self,self,s,SubjectivePercept,0
(,(,c,,0
dread,dread,s,Fear,0
Prince,prince,c,PersonProperty,0
),),s,,0
in,in,s,,0
token,token,s,Example,0
of,of,s,Example,1
my,my,s,Positivity,0
love,love,c,Positivity,1
",",",",n,,0
And,and,s,,0
dutiful,dutiful,s,StandardsPos,0
obedience,obedience,s,CommonAuthorities,0
to,to,s,DirectAddress,0
your,your,s,DirectAddress,1
Grace,grace,c,StandardsPos,0
",",",",n,,0
Will,will,s,PredictedFuture,0
study,study,s,Curiosity,0
daily,daily,c,RecurringEvents,0
",",",",s,,0
as,as,s,,0
my,my,s,Responsibility,0
duty,duty,s,Responsibility,1
wills,wills,c,AbstractConcepts,0
",",",",n,,0
To,to,s,,0
root,root,s,AbstractConcepts,0
sins,sins,s,StandardsNeg,0
from,from,s,,0
the,the,s,StandardsPos,0
flourishing,flourishing,s,StandardsPos,1
common,common,s,AbstractConcepts,0
wealth,wealth,c,Positivity,0
.,.,n,,0
That,that,s,,0
Fame,fame,s,StandardsPos,0
in,in,s,,0
every,every,s,Generalization,0
angle,angle,s,SpaceRelation,0
of,of,s,SpaceRelation,1
the,the,s,,0
world,world,c,AbstractConcepts,0
",",",",n,,0
May,may,s,Resemblances,0
sound,sound,s,Resemblances,1
due,due,s,AbstractConcepts,0
praise,praise,s,StandardsPos,0
of,of,s,StandardsPos,1
Englands,englands,s,UNRECOGNIZED,0
vetuous,vetuous,s,UNRECOGNIZED,0
King,king,c,PersonProperty,0
.,.,nn,,0
Dunston,dunston,c,UNRECOGNIZED,0
.,.,s,Imperative,0
live,live,s,Imperative,1
thou,thou,c,DirectAddress,0
",",",",s,,0
and,and,s,,0
counsel,counsel,s,PersonProperty,0
still,still,s,Updates,0
the,the,s,SenseObject,0
king,king,c,SenseObject,1
",",",",n,,0
To,to,s,,0
maintain,maintain,s,TimeDuration,0
Justice,justice,c,StandardsPos,0
",",",",s,,0
were,were,s,Contingency,0
it,it,s,Contingency,1
on,on,s,,0
himself,himself,c,PersonPronoun,0
",",",",n,,0
Rather,rather,s,Substitution,0
than,than,s,Substitution,1
soothing,soothing,s,Positivity,0
him,him,s,PersonPronoun,0
in,in,s,Specifiers,0
his,his,s,Specifiers,1
abuse,abuse,c,Negativity,0
",",",",n,,0
To,to,s,ProjectAhead,0
see,see,s,ProjectAhead,1
subversion,subversion,s,Resistance,0
of,of,s,,0
his,his,s,PersonPronoun,0
common,common,s,AbstractConcepts,0
wealth,wealth,c,Positivity,0
.,.,n,,0
I,i,s,FirstPer,0
tell,tell,s,,0
thee,thee,s,DirectAddress,0
Dunston,dunston,c,UNRECOGNIZED,0
",",",",s,,0
thou,thou,s,DirectAddress,0
have,have,s,,0
pleased,pleased,s,Positivity,0
the,the,s,SenseObject,0
King,king,c,SenseObject,1
",",",",n,,0
And,and,s,,0
proved,proved,s,Confidence,0
thy,thy,s,DirectAddress,0
self,self,s,SubjectivePercept,0
a,a,s,,0
virtuous,virtuous,s,StandardsPos,0
counselor,counselor,c,PersonProperty,0
:,:,n,,0
Thy,thy,s,DirectAddress,0
counsel,counsel,s,PersonProperty,0
is,is,s,ProjectAhead,0
to,to,s,ProjectAhead,1
me,me,s,FirstPer,0
as,as,s,,0
North,north,s,SenseObject,0
stars,stars,s,SenseObject,1
light,light,c,SenseProperty,0
",",",",n,,0
That,that,s,,0
guides,guides,s,ReportingEvents,0
the,the,s,ReportingEvents,1
Sayler,sayler,s,UNRECOGNIZED,0
to,to,s,,0
his,his,s,PersonPronoun,0
wished,wished,s,ProjectAhead,0
port,port,c,SenseObject,0
:,:,n,,0
For,for,s,SpaceRelation,0
by,by,s,SpaceRelation,1
that,that,s,,0
star,star,s,SenseObject,0
he,he,s,Updates,0
is,is,s,Updates,1
so,so,s,,0
comforted,comforted,c,ReportingStates,0
",",",",n,ReportingStates,1
That,that,s,,0
he,he,s,Neutral_Attribution,0
sails,sails,s,Neutral_Attribution,1
daungerlesse,daungerlesse,s,UNRECOGNIZED,0
on,on,s,,0
dangerous,dangerous,s,Fear,0
seas,seas,c,SenseObject,0
",",",",n,,0
And,and,s,,0
in,in,s,Specifiers,0
his,his,s,Specifiers,1
deepest,deepest,s,Comparison,0
sadness,sadness,s,Sad,0
comforts,comforts,s,Reassure,0
him,him,c,Reassure,1
:,:,n,,0
So,so,s,,0
Dunstons,dunstons,s,UNRECOGNIZED,0
knowledge,knowledge,s,CommonAuthorities,0
is,is,s,ReportingStates,0
that,that,s,ReportingStates,1
star,star,s,SenseProperty,0
of,of,s,SenseProperty,1
joy,joy,c,Positivity,0
",",",",n,,0
That,that,s,PredictedFuture,0
will,will,s,PredictedFuture,1
with,with,s,,0
help,help,s,Positivity,0
conduct,conduct,s,AbstractConcepts,0
me,me,s,FirstPer,0
to,to,s,SelfDisclosure,0
my,my,s,SelfDisclosure,1
happiness,happiness,c,Positivity,0
.,.,nn,DirectAddress,0
And,and,s,DirectAddress,1
yet,yet,s,Resistance,0
thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
not,not,s,DenyDisclaim,0
happy,happy,s,Positivity,0
Edgar,edgar,c,UNRECOGNIZED,0
",",",",n,,0
Because,because,s,ReasonBackward,0
that,that,s,,0
sins,sins,c,StandardsNeg,0
",",",",s,,0
like,like,s,SubjectivePercept,0
swarms,swarms,c,SpaceRelation,0
",",",",s,,0
remain,remain,s,TimeDuration,0
in,in,s,,0
thee,thee,c,DirectAddress,0
.,.,nn,Question,0
Why,why,c,Question,1
",",",",s,Question,2
it,it,s,,0
is,is,s,ReportingStates,0
impossible,impossible,c,StandardsNeg,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
I,i,s,ReasonForward,2
have,have,s,,0
studied,studied,s,ReportingEvents,0
still,still,c,Updates,0
",",",",n,,0
To,to,s,,0
root,root,s,AbstractConcepts,0
abuses,abuses,s,Negativity,0
from,from,s,,0
the,the,s,Inclusive,0
common,common,s,Inclusive,1
wealth,wealth,c,Positivity,0
",",",",n,,0
That,that,s,Uncertainty,0
may,may,s,Uncertainty,1
infect,infect,s,StandardsNeg,0
the,the,s,SenseObject,0
king,king,s,SenseObject,1
or,or,s,,0
communaltie,communaltie,c,UNRECOGNIZED,0
.,.,n,,0
Therefore,therefore,c,ReasonForward,0
",",",",s,,0
base,base,s,AbstractConcepts,0
Peasant,peasant,c,PersonProperty,0
",",",",s,,0
wilful,wilful,s,SubjectivePercept,0
as,as,s,,0
thou,thou,s,DirectAddress,0
art,art,c,AbstractConcepts,0
",",",",n,,0
I,i,s,FirstPer,0
tell,tell,s,,0
thee,thee,s,DirectAddress,0
troth,troth,c,CommonAuthorities,0
",",",",s,,0
thou,thou,s,DirectAddress,0
have,have,s,,0
displeasd,displeasd,s,UNRECOGNIZED,0
the,the,s,SenseObject,0
King,king,c,SenseObject,1
.,.,nn,,0
Nay,nay,c,OralCues,0
",",",",s,,0
the,the,s,SenseObject,0
King,king,s,SenseObject,1
has,has,s,,0
displeased,displeased,s,Negativity,0
himself,himself,c,PersonPronoun,0
",",",",n,,0
In,in,s,,0
trusting,trusting,s,Confidence,0
every,every,s,Generalization,0
one,one,s,Generalization,1
that,that,s,,0
speaks,speaks,s,,0
him,him,s,PersonPronoun,0
fair,fair,c,StandardsPos,0
:,:,n,,0
For,for,s,,0
through,through,s,,0
fair,fair,s,StandardsPos,0
words,words,c,StandardsPos,1
",",",",s,,0
Kings,kings,s,PersonProperty,0
many,many,s,RecurringEvents,0
times,times,s,RecurringEvents,1
are,are,s,ReportingStates,0
feign,feign,n,SubjectivePercept,0
To,to,s,,0
countenance,countenance,s,SenseObject,0
Knaves,knaves,s,Negativity,0
by,by,s,,0
their,their,s,PersonPronoun,0
authority,authority,c,CommonAuthorities,0
:,:,n,,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
not,not,s,PredictedFuture,1
say,say,s,Citations,0
your,your,s,DirectAddress,0
Grace,grace,s,StandardsPos,0
does,does,s,Intensity,0
so,so,c,Intensity,1
.,.,nn,,0
No,no,s,OralCues,0
sir,sir,c,OralCues,1
",",",",s,,0
you,you,s,DirectAddress,0
were,were,s,ProjectBack,0
not,not,s,DenyDisclaim,0
best,best,c,Comparison,0
.,.,nn,Question,0
Why,why,c,Question,1
",",",",s,Question,2
if,if,s,Contingency,0
I,i,s,Insist,0
should,should,c,Insist,1
",",",",s,,0
I,i,s,FirstPer,0
might,might,s,Contingency,0
make,make,s,Contingency,1
good,good,s,,0
my,my,s,FirstPer,0
wor^,wor^,c,UNRECOGNIZED,0
",",",",n,,0
And,and,s,,0
find,find,s,,0
a,a,s,Negativity,0
Knave,knave,c,Negativity,1
",",",",s,,0
I,i,s,Fear,0
fear,fear,c,Fear,1
",",",",s,,0
before,before,s,Sequence,0
I,i,s,FirstPer,0
part,part,c,AbstractConcepts,0
.,.,nn,AbstractConcepts,1
Why,why,c,Question,0
",",",",s,,0
what,what,s,,0
art,art,s,AbstractConcepts,0
thou,thou,c,DirectAddress,0
?,?,nn,Question,0
Mary,mary,s,PersonProperty,0
I,i,s,FirstPer,0
go,go,s,ReportingEvents,0
plain,plain,c,SenseProperty,0
",",",",s,,0
and,and,s,,0
my,my,s,Autobio,0
name,name,s,Autobio,1
is,is,s,ReportingStates,0
Honesty,honesty,c,StandardsPos,0
",",",",n,,0
A,a,s,Positivity,0
friend,friend,s,Positivity,1
to,to,s,DirectAddress,0
your,your,s,DirectAddress,1
Grace,grace,c,StandardsPos,0
",",",",s,Resistance,0
but,but,s,Resistance,1
a,a,s,,0
foe,foe,s,Negative_Relation,0
to,to,s,,0
Flatterers,flatterers,c,SubjectivePercept,0
",",",",n,,0
And,and,s,,0
one,one,s,Specifiers,0
that,that,s,Specifiers,1
has,has,s,ReportingEvents,0
a,a,s,ReportingEvents,1
Knacke,knacke,s,UNRECOGNIZED,0
to,to,s,,0
know,know,s,Confidence,0
a,a,s,Confidence,1
Knave,knave,c,Negativity,0
.,.,nn,,0
As,as,s,Specifiers,0
how,how,s,Specifiers,1
sir,sir,c,PersonProperty,0
",",",",s,,0
by,by,s,,0
art,art,c,AbstractConcepts,0
",",",",s,,0
or,or,s,,0
by,by,s,Uncertainty,0
some,some,s,Uncertainty,1
foolish,foolish,s,Negativity,0
gift,gift,s,Positivity,0
God,god,s,CommonAuthorities,0
has,has,s,,0
given,given,s,ReportingStates,0
you,you,c,DirectAddress,0
",",",",n,,0
You,you,s,DirectAddress,0
are,are,s,DirectAddress,1
some,some,s,Uncertainty,0
Uissitian,uissitian,c,UNRECOGNIZED,0
",",",",s,,0
or,or,s,,0
skild,skild,s,UNRECOGNIZED,0
in,in,s,,0
Uisognomy,uisognomy,c,UNRECOGNIZED,0
",",",",s,,0
or,or,s,,0
in,in,s,,0
palmes^ry,palmes^ry,n,UNRECOGNIZED,0
For,for,s,ReasonForward,0
I,i,s,ReasonForward,1
am,am,s,ReasonForward,2
sure,sure,c,Insist,0
",",",",s,Insist,1
you,you,s,Insist,2
can,can,s,Insist,3
never,never,s,Biographical_Time,0
do,do,s,Biographical_Time,1
it,it,s,,0
by,by,s,,0
Astronomy,astronomy,c,AbstractConcepts,0
",",",",n,,0
Because,because,s,ReasonBackward,0
there,there,s,DenyDisclaim,0
are,are,s,DenyDisclaim,1
no,no,s,DenyDisclaim,2
stars,stars,s,SenseObject,0
to,to,s,,0
know,know,s,Confidence,0
a,a,s,Confidence,1
knave,knave,c,Negativity,0
.,.,nn,,0
True,true,c,Resistance,0
",",",",s,Resistance,1
but,but,s,Resistance,2
many,many,s,,0
an,an,s,,0
honest,honest,s,StandardsPos,0
man,man,s,StandardsPos,1
knows,knows,s,Confidence,0
a,a,s,Confidence,1
knave,knave,s,Negativity,0
to,to,s,Negativity,0
his,his,s,Negativity,1
cost,cost,c,Negativity,2
",",",",n,,0
And,and,s,,0
is,is,s,ReportingStates,0
neither,neither,s,DenyDisclaim,0
Uisitia^,uisitia^,c,UNRECOGNIZED,0
",",",",s,,0
Uisognomer,uisognomer,c,UNRECOGNIZED,0
",",",",s,,0
palmester,palmester,c,UNRECOGNIZED,0
",",",",s,,0
nor,nor,s,DenyDisclaim,0
astronomer,astronomer,n,PersonProperty,0
But,but,s,Resistance,0
a,a,s,SenseProperty,0
plain,plain,s,SenseProperty,1
man,man,s,PersonProperty,0
of,of,s,PersonProperty,1
the,the,s,,0
country,country,c,AbstractConcepts,0
",",",",s,,0
like,like,s,SubjectivePercept,0
me,me,c,FirstPer,0
.,.,n,,0
That,that,s,,0
knows,knows,s,Confidence,0
a,a,s,Confidence,1
knave,knave,c,Negativity,0
",",",",s,,0
if,if,s,Contingency,0
he,he,s,Contingency,1
do,do,s,Intensity,0
but,but,s,Resistance,0
see,see,s,,0
his,his,s,PersonPronoun,0
cap,cap,c,AbstractConcepts,0
.,.,nn,AbstractConcepts,1
That,that,s,,0
were,were,s,ProjectBack,0
pretty,pretty,s,SubjectivePercept,0
I,i,s,FirstPer,0
faith,faith,c,StandardsPos,0
",",",",s,,0
to,to,s,ProjectAhead,0
see,see,s,ProjectAhead,1
Honesty,honesty,s,StandardsPos,0
know,know,s,Confidence,0
a,a,s,Confidence,1
knave,knave,s,Negativity,0
by,by,s,,0
his,his,s,PersonPronoun,0
cap,cap,c,SenseObject,0
",",",",n,,0
It,it,s,,0
Is,is,s,Comparison,0
more,more,s,Comparison,1
than,than,s,Comparison,2
I,i,s,Contingency,0
can,can,s,Contingency,1
do,do,s,ReportingEvents,0
with,with,s,ReportingEvents,1
all,all,s,Generalization,0
the,the,s,Generalization,1
skill,skill,s,StandardsPos,0
I,i,s,SelfDisclosure,0
have,have,c,SelfDisclosure,1
:,:,n,,0
But,but,s,Resistance,0
tell,tell,s,Citations,0
me,me,s,Citations,1
I,i,s,FirstPer,0
pray,pray,s,Intensity,0
thee,thee,c,DirectAddress,0
",",",",s,Autobio,0
how,how,s,Autobio,1
I,i,s,Autobio,2
should,should,s,Insist,0
know,know,s,Insist,1
a,a,s,Negativity,0
knave,knave,c,Negativity,1
.,.,nn,,0
I,i,s,SelfDisclosure,0
believe,believe,s,SelfDisclosure,1
you,you,s,DirectAddress,0
well,well,c,OralCues,0
",",",",s,OralCues,1
for,for,s,,0
offenders,offenders,s,Anger,0
never,never,s,DenyDisclaim,0
bewray,bewray,s,SubjectivePercept,0
their,their,s,PersonPronoun,0
offenses,offenses,n,SubjectivePercept,0
Til,til,s,SenseObject,0
the,the,s,CommonAuthorities,0
Law,law,s,CommonAuthorities,1
find,find,s,,0
them,them,c,,0
",",",",s,,0
and,and,s,,0
punish,punish,s,Negativity,0
them,them,c,,0
:,:,n,,0
But,but,s,Resistance,0
you,you,s,DirectAddress,0
would,would,s,DirectAddress,1
feign,feign,s,SubjectivePercept,0
tell,tell,s,,0
how,how,s,Curiosity,0
to,to,s,Curiosity,1
know,know,s,Confidence,0
a,a,s,Confidence,1
knave,knave,c,Negativity,0
",",",",n,,0
Then,then,s,,0
thus,thus,c,ReasonForward,0
",",",",s,,0
the,the,s,Precedent_Setting,0
first,first,s,Precedent_Setting,1
man,man,s,Precedent_Setting,2
you,you,s,DirectAddress,0
meet,meet,s,ReportingEvents,0
in,in,s,TimeDuration,0
the,the,s,TimeDuration,1
morning,morning,c,TimeDuration,2
",",",",n,,0
If,if,s,Contingency,0
he,he,s,Contingency,1
salute,salute,s,Positivity,0
you,you,c,DirectAddress,0
",",",",s,,0
draw,draw,s,SubjectiveTime,0
near,near,s,SubjectiveTime,1
him,him,c,PersonPronoun,0
",",",",n,,0
And,and,s,,0
smell,smell,s,SenseProperty,0
to,to,s,,0
his,his,s,PersonPronoun,0
hat,hat,c,SenseObject,0
",",",",s,,0
and,and,s,,0
after,after,s,Sequence,0
smell,smell,s,SenseProperty,0
to,to,s,DirectAddress,0
your,your,s,DirectAddress,1
own,own,c,ReportingEvents,0
",",",",n,,0
And,and,s,,0
my,my,s,FirstPer,0
cap,cap,s,SenseObject,0
to,to,s,,0
a,a,s,CommonAuthorities,0
noble,noble,c,CommonAuthorities,1
",",",",s,,0
if,if,s,Contingency,0
his,his,s,PersonPronoun,0
smell,smell,s,Resemblances,0
like,like,s,Resemblances,1
yours,yours,c,DirectAddress,0
",",",",s,,0
he,he,s,Neutral_Attribution,0
is,is,s,Neutral_Attribution,1
a,a,s,Neutral_Attribution,2
knave,knave,c,Negativity,0
",",",",n,,0
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
I,i,s,FirstPer,0
spoke,spoke,s,SpaceRelation,0
with,with,s,SpaceRelation,1
you,you,s,DirectAddress,0
now,now,c,Immediacy,0
.,.,nn,,0
Base,base,s,AbstractConcepts,0
Uillain,uillain,c,UNRECOGNIZED,0
",",",",s,,0
were,were,s,Contingency,0
it,it,s,Contingency,1
not,not,s,Contingency,2
that,that,s,Contingency,3
the,the,s,SenseObject,0
Kings,kings,s,SenseObject,1
presence,presence,s,AbstractConcepts,0
does,does,s,ReportingEvents,0
privilege,privilege,s,SubjectivePercept,0
thy,thy,n,DirectAddress,0
presu^ptio^,presu^ptio^,c,UNRECOGNIZED,0
",",",",s,,0
I,i,s,SelfDisclosure,0
would,would,s,SelfDisclosure,1
teach,teach,s,ReportingEvents,0
you,you,s,DirectAddress,0
to,to,s,,0
jest,jest,s,Positivity,0
with,with,s,DirectAddress,0
your,your,s,DirectAddress,1
fellows,fellows,nnn,PersonProperty,0
Forbear,forbear,c,Reluctance,0
",",",",s,,0
honesty,honesty,c,StandardsPos,0
",",",",s,,0
thou,thou,s,DirectAddress,0
art,art,s,AbstractConcepts,0
a,a,s,Positivity,0
good,good,s,Positivity,1
plain,plain,s,SenseProperty,0
fellow,fellow,c,PersonProperty,0
",",",",n,,0
And,and,s,,0
I,i,s,FirstPer,0
commend,commend,s,StandardsPos,0
thy,thy,s,DirectAddress,0
wit,wit,c,StandardsPos,0
",",",",s,,0
that,that,s,,0
have,have,s,Intensity,0
such,such,s,Intensity,1
ways,ways,s,ProjectAhead,0
to,to,s,ProjectAhead,1
know,know,s,Confidence,0
a,a,s,Confidence,1
knave,knave,c,Negativity,0
.,.,nn,,0
Honesty,honesty,s,StandardsPos,0
is,is,s,Confidence,0
plain,plain,s,Confidence,1
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
",",",",s,Resistance,0
but,but,s,Resistance,1
no,no,s,Negativity,0
good,good,s,Negativity,1
fellow,fellow,c,PersonProperty,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
good,good,s,,0
fellows,fellows,s,PersonProperty,0
be,be,s,ReportingStates,0
purse-takers,purse-takers,s,UNRECOGNIZED,0
now,now,s,Updates,0
a,a,s,Updates,1
days,days,c,Updates,2
:,:,n,,0
And,and,s,,0
there,there,s,,0
be,be,s,ReportingStates,0
so,so,s,Intensity,0
many,many,s,Intensity,1
of,of,s,Specifiers,0
such,such,s,Specifiers,1
good,good,s,,0
f^ll^wes,f^ll^wes,c,UNRECOGNIZED,0
",",",",n,,0
That,that,s,,0
