HEnce,hence,c,ReasonForward,0
would,would,s,ProjectBack,0
soar,soar,s,Motions,0
above,above,s,Motions,1
the,the,s,PrivateThinking,0
view,view,s,PrivateThinking,1
of,of,s,PrivateThinking,2
men,men,c,PersonProperty,0
",",",",n,,0
And,and,s,,0
keep,keep,s,TimeDuration,0
us,us,s,Inclusive,0
all,all,s,Inclusive,1
in,in,s,,0
servile,servile,s,Negativity,0
fearfulness,fearfulness,c,Fear,0
.,.,nn,,0
Calphurnia,calphurnia,c,UNRECOGNIZED,0
.,.,nnn,,0
Peace,peace,s,StandardsPos,0
ho,ho,c,OralCues,0
",",",",s,,0
Caesar,caesar,s,,0
speaks,speaks,c,,0
.,.,nnn,,0
Calphurnia,calphurnia,c,UNRECOGNIZED,0
.,.,nnn,SpaceRelation,0
Here,here,s,SpaceRelation,1
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
.,.,nnn,,0
Stand,stand,s,AbstractConcepts,0
you,you,s,DirectAddress,0
directly,directly,s,Immediacy,0
in,in,s,,0
Antonio's,antonio's,s,UNRECOGNIZED,0
way,way,c,AbstractConcepts,0
",",",",n,,0
When,when,s,TimeShift,0
he,he,s,TimeShift,1
does,does,s,ReportingEvents,0
run,run,s,ReportingEvents,0
his,his,s,ProjectAhead,0
course,course,c,ProjectAhead,1
.,.,s,,0
Antonio,antonio,c,UNRECOGNIZED,0
.,.,nn,,0
Caesar,caesar,c,,0
",",",",s,,0
my,my,s,DirectAddress,0
Lord,lord,c,DirectAddress,1
.,.,nnn,,0
Forget,forget,s,Negativity,0
not,not,s,DenyDisclaim,0
in,in,s,DirectAddress,0
your,your,s,DirectAddress,1
speed,speed,s,AbstractConcepts,0
Antonio,antonio,c,UNRECOGNIZED,0
",",",",n,,0
To,to,s,,0
touch,touch,s,Motions,0
Calphurnia,calphurnia,c,UNRECOGNIZED,0
:,:,s,,0
for,for,s,Inclusive,0
our,our,s,Inclusive,1
Elders,elders,s,PersonProperty,0
say,say,c,Citations,0
",",",",n,,0
The,the,s,,0
Barren,barren,s,Negativity,0
touched,touched,s,SenseProperty,0
in,in,s,,0
this,this,s,,0
holy,holy,s,StandardsPos,0
chase,chase,c,Motions,0
",",",",n,,0
Shake,shake,s,Transformation,0
off,off,s,Transformation,1
their,their,s,PersonPronoun,0
sterrile,sterrile,s,UNRECOGNIZED,0
curse,curse,c,Negativity,0
.,.,nn,,0
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
remember,remember,c,DirectAddress,0
",",",",n,DirectAddress,1
When,when,s,,0
Caesar,caesar,s,,0
says,says,c,Citations,0
",",",",s,,0
Do,do,s,Intensity,0
this,this,c,Immediacy,0
;,;,s,Immediacy,1
it,it,s,,0
is,is,s,ReportingStates,0
performed,performed,c,ReportingStates,0
.,.,nn,ReportingStates,1
Set,set,s,Confidence,0
on,on,c,Confidence,1
",",",",s,,0
and,and,s,,0
leave,leave,s,,0
no,no,s,DenyDisclaim,0
Ceremony,ceremony,s,CommonAuthorities,0
out,out,c,,0
.,.,nnn,,0
Caesar,caesar,c,,0
.,.,nnn,,0
Ha,ha,c,OralCues,0
?,?,s,Question,0
Who,who,s,,0
calls,calls,c,ReportingEvents,0
?,?,nnn,Question,0
Bid,bid,s,ReportingEvents,0
every,every,s,Generalization,0
noise,noise,s,SenseProperty,0
be,be,s,SpaceRelation,0
still,still,c,SpaceRelation,1
:,:,s,,0
peace,peace,s,StandardsPos,0
yet,yet,s,RecurringEvents,0
again,again,c,RecurringEvents,1
.,.,nnn,Curiosity,0
Who,who,s,Curiosity,1
is,is,s,Curiosity,2
it,it,s,Curiosity,3
in,in,s,Specifiers,0
the,the,s,Specifiers,1
press,press,c,Specifiers,2
",",",",s,,0
that,that,s,,0
calls,calls,s,ReportingEvents,0
on,on,s,ReportingEvents,1
me,me,c,FirstPer,0
?,?,n,Question,0
I,i,s,FirstPer,0
hear,hear,s,SenseProperty,0
a,a,s,SenseProperty,1
Tongue,tongue,s,SenseObject,0
shriller,shriller,s,Comparison,0
then,then,s,,0
all,all,s,Generalization,0
the,the,s,Generalization,1
Music,music,n,SenseProperty,0
Cry,cry,c,Motions,0
",",",",s,,0
Caesar,caesar,c,,0
:,:,s,,0
Speak,speak,c,ReportingEvents,0
",",",",s,,0
Caesar,caesar,s,,0
is,is,s,ReportingStates,0
turned,turned,s,Transformation,0
to,to,s,Transformation,1
hear,hear,c,SpaceRelation,0
.,.,nn,,0
Beware,beware,s,Negativity,0
the,the,s,,0
Ides,ides,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
March,march,c,AbstractConcepts,2
.,.,nnn,Question,0
What,what,s,Question,1
man,man,s,PersonProperty,0
is,is,s,ReportingStates,0
that,that,c,ReportingStates,1
?,?,nnn,Question,0
A,a,s,,0
Sooth-sayer,sooth-sayer,s,UNRECOGNIZED,0
bids,bids,s,ReportingEvents,0
you,you,s,DirectAddress,0
beware,beware,s,Negativity,0
the,the,s,,0
Ides,ides,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
March,march,nnn,AbstractConcepts,2
Set,set,s,Narrative_Verbs,0
him,him,s,Narrative_Verbs,1
before,before,s,Sequence,0
me,me,c,FirstPer,0
",",",",s,,0
let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
see,see,s,,0
his,his,s,SenseProperty,0
face,face,c,SenseProperty,1
.,.,nnn,,0
Fellow,fellow,c,PersonProperty,0
",",",",s,,0
come,come,s,SceneShift,0
from,from,s,SceneShift,1
the,the,s,SceneShift,2
throng,throng,c,SenseObject,0
",",",",s,,0
look,look,s,SubjectivePercept,0
upon,upon,s,SubjectivePercept,1
Caesar,caesar,c,,0
.,.,nnn,Question,0
What,what,s,Question,1
say,say,s,Citations,0
thou,thou,s,DirectAddress,0
to,to,s,SelfDisclosure,0
me,me,s,SelfDisclosure,1
now,now,c,Immediacy,0
?,?,s,Question,0
Speak,speak,s,ReportingEvents,0
once,once,s,RecurringEvents,0
again,again,c,RecurringEvents,1
.,.,nnn,,0
Beware,beware,s,Negativity,0
the,the,s,,0
Ides,ides,s,AbstractConcepts,0
of,of,s,AbstractConcepts,1
March,march,c,AbstractConcepts,2
.,.,nnn,,0
He,he,s,Neutral_Attribution,0
is,is,s,Neutral_Attribution,1
a,a,s,Neutral_Attribution,2
Dreamer,dreamer,c,PrivateThinking,0
",",",",s,,0
let,let,s,DirectAddress,0
us,us,s,DirectAddress,1
leave,leave,s,SceneShift,0
him,him,c,SceneShift,1
:,:,s,,0
Pass,pass,c,AbstractConcepts,0
.,.,nnn,AbstractConcepts,1
Will,will,s,PredictedFuture,0
you,you,s,DirectAddress,0
go,go,s,ReportingEvents,0
see,see,s,,0
the,the,s,CommonAuthorities,0
order,order,s,CommonAuthorities,1
of,of,s,CommonAuthorities,2
the,the,s,,0
course,course,c,AbstractConcepts,0
?,?,nnn,Question,0
Not,not,s,DenyDisclaim,0
I,i,c,FirstPer,0
.,.,nnn,,0
I,i,s,FirstPer,0
pray,pray,s,Intensity,0
you,you,s,DirectAddress,0
do,do,c,DirectAddress,1
.,.,nnn,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
not,not,s,DenyDisclaim,0
Gamesom,gamesom,c,UNRECOGNIZED,0
:,:,s,,0
I,i,s,FirstPer,0
do,do,s,Intensity,0
lack,lack,s,Negativity,0
some,some,s,Uncertainty,0
part,part,n,,0
Of,of,s,Specifiers,0
that,that,s,Specifiers,1
quick,quick,s,SubjectiveTime,0
Spirit,spirit,s,SubjectivePercept,0
that,that,s,Specifiers,0
is,is,s,Specifiers,1
in,in,s,,0
Antony,antony,c,UNRECOGNIZED,0
:,:,n,,0
Let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
not,not,s,DenyDisclaim,0
hinder,hinder,s,Resistance,0
Cassius,cassius,s,,0
your,your,s,Disclosure,0
desires,desires,c,Disclosure,1
;,;,n,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
leave,leave,s,,0
you,you,c,DirectAddress,0
.,.,nn,,0
Brutus,brutus,c,UNRECOGNIZED,0
",",",",s,,0
I,i,s,FirstPer,0
do,do,s,Intensity,0
observe,observe,s,ReportingEvents,0
you,you,s,DirectAddress,0
now,now,s,Immediacy,0
