FOrtune,fortune,c,ProjectAhead,0
aim,aim,s,ProjectAhead,0
to,to,s,ProjectAhead,1
grieve,grieve,c,Sad,0
",",",",s,Resistance,0
but,but,s,Resistance,1
better,better,s,Comparison,0
Men,men,c,PersonProperty,0
;,;,n,,0
How,how,s,,0
ever,ever,s,Biographical_Time,0
the,the,s,,0
Age,age,c,Specifiers,0
",",",",s,,0
he,he,s,Neutral_Attribution,0
lives,lives,s,Neutral_Attribution,1
in,in,c,Neutral_Attribution,2
",",",",s,,0
does,does,s,ReportingEvents,0
endure,endure,n,Resistance,0
The,the,s,,0
vices,vices,s,Negativity,0
that,that,s,,0
she,she,s,PersonPronoun,0
breeds,breeds,c,AbstractConcepts,0
",",",",s,,0
above,above,s,SpaceRelation,0
their,their,s,PersonPronoun,0
cure,cure,c,Positivity,0
.,.,n,Resistance,0
But,but,c,Resistance,1
",",",",s,,0
when,when,s,,0
the,the,s,,0
wholesome,wholesome,s,StandardsPos,0
remedies,remedies,s,Positivity,0
are,are,s,ReportingStates,0
sweet,sweet,c,SenseProperty,0
",",",",n,,0
And,and,c,,0
",",",",s,,0
in,in,s,Specifiers,0
their,their,s,Specifiers,1
working,working,c,ReportingEvents,0
",",",",s,,0
Game,game,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
Profit,profit,s,AbstractConcepts,0
meet,meet,c,ReportingEvents,0
",",",",n,,0
He,he,s,Neutral_Attribution,0
hopes,hopes,s,Neutral_Attribution,1
to,to,s,,0
find,find,s,,0
no,no,s,DenyDisclaim,0
spirit,spirit,s,SubjectivePercept,0
so,so,s,Intensity,0
much,much,s,Intensity,1
diseased,diseased,c,StandardsNeg,0
",",",",n,Resistance,0
But,but,s,Resistance,1
will,will,c,PredictedFuture,0
",",",",s,,0
with,with,s,Specifiers,0
such,such,s,Specifiers,1
fair,fair,s,StandardsPos,0
Correctiues,correctiues,c,UNRECOGNIZED,0
",",",",s,,0
be,be,s,ReportingStates,0
pleased,pleased,c,Positivity,0
.,.,n,,0
For,for,s,,0
here,here,c,SpaceRelation,0
",",",",s,SpaceRelation,1
he,he,s,PersonPronoun,0
does,does,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
fear,fear,c,Fear,0
",",",",s,,0
who,who,s,,0
can,can,s,Contingency,0
apply,apply,c,ReportingEvents,0
.,.,n,,0
If,if,s,Contingency,0
there,there,s,Contingency,1
be,be,s,Contingency,2
any,any,c,,0
",",",",s,,0
that,that,s,PredictedFuture,0
will,will,s,PredictedFuture,1
sit,sit,s,SenseProperty,0
so,so,s,,0
nigh,nigh,n,SenseProperty,0
Unto,unto,s,CommonAuthorities,0
the,the,s,SenseObject,0
stream,stream,c,SenseObject,1
",",",",s,,0
to,to,s,,0
look,look,s,ReportingEvents,0
what,what,s,Question,0
it,it,s,Question,1
does,does,s,ReportingEvents,0
run,run,c,ReportingEvents,0
",",",",n,,0
They,they,s,,0
shall,shall,s,ProjectAhead,0
find,find,s,,0
things,things,c,Uncertainty,0
",",",",s,,0
they'ld,they'ld,s,UNRECOGNIZED,0
think,think,c,PrivateThinking,0
",",",",s,,0
or,or,s,,0
wish,wish,c,SubjectivePercept,0
",",",",s,,0
were,were,s,ProjectBack,0
done,done,c,ReportingStates,0
;,;,n,ReportingStates,1
They,they,s,ReportingStates,0
are,are,s,ReportingStates,1
so,so,s,,0
natural,natural,s,AbstractConcepts,0
follies,follies,c,SenseProperty,0
:,:,s,,0
But,but,s,Resistance,0
so,so,s,Resistance,1
shown,shown,c,ReportingStates,0
",",",",n,ReportingStates,1
As,as,s,,0
even,even,s,Intensity,0
the,the,s,Intensity,1
Doers,doers,s,StandardsPos,0
may,may,s,Contingency,0
see,see,c,,0
",",",",s,,0
and,and,s,Resistance,0
yet,yet,s,Resistance,1
not,not,s,DenyDisclaim,0
own,own,c,ReportingEvents,0
.,.,nn,,0
BEleeu't,beleeu't,s,UNRECOGNIZED,0
I,i,s,FirstPer,0
will,will,c,PredictedFuture,0
.,.,n,,0
Thy,thy,s,DirectAddress,0
worst,worst,c,Negativity,0
.,.,s,,0
I,i,s,FirstPer,0
fart,fart,s,Motions,0
at,at,s,,0
thee,thee,c,DirectAddress,0
.,.,nn,,0
Ha'you,ha'you,s,UNRECOGNIZED,0
your,your,s,DirectAddress,0
wits,wits,c,StandardsPos,0
?,?,s,Question,0
Why,why,s,Question,0
Gentlemen,gentlemen,c,Positivity,0
!,!,s,,0
for,for,s,Positivity,0
love,love,s,Positivity,1
--,--,nn,,0
Sirah,sirah,c,UNRECOGNIZED,0
",",",",s,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
strip,strip,s,AbstractConcepts,0
you,you,s,DirectAddress,0
--,--,nn,,0
What,what,s,Curiosity,0
to,to,s,Curiosity,1
do,do,c,Intensity,0
?,?,s,Question,0
lick,lick,s,Motions,0
figs,figs,n,SubjectivePercept,0
Out,out,s,SubjectivePercept,1
at,at,s,,0
my,my,s,FirstPer,0
--,--,nn,,0
Rogue,rogue,c,Negativity,0
",",",",s,,0
Rogue,rogue,c,Negativity,0
",",",",s,,0
out,out,s,,0
of,of,s,Specifiers,0
all,all,s,Specifiers,1
your,your,s,DirectAddress,0
sleights,sleights,c,StandardsPos,0
.,.,nn,,0
Nay,nay,c,OralCues,0
",",",",s,,0
look,look,s,ReportingEvents,0
ye,ye,c,OralCues,0
!,!,s,,0
Sovereign,sovereign,c,CommonAuthorities,0
",",",",s,,0
General,general,c,AbstractConcepts,0
",",",",s,,0
are,are,s,DirectAddress,0
you,you,s,DirectAddress,1
Madmen,madmen,c,Anger,0
?,?,nn,Question,0
O,o,c,LangRef,0
",",",",s,,0
let,let,s,ReportingEvents,0
the,the,s,ReportingEvents,1
wild,wild,s,SenseObject,0
sheep,sheep,s,SenseObject,1
loose,loose,c,AbstractConcepts,0
.,.,s,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
gum,gum,s,SenseObject,0
your,your,s,DirectAddress,0
silks,silks,n,SenseObject,0
With,with,s,,0
good,good,s,,0
strong,strong,s,SenseProperty,0
water,water,c,SenseProperty,1
",",",",s,,0
an'you,an'you,s,UNRECOGNIZED,0
come,come,c,ReportingEvents,0
.,.,nn,Request,0
Will,will,s,Request,1
you,you,s,Request,2
have,have,n,ReportingEvents,0
The,the,s,ReportingEvents,1
neighbors,neighbors,s,PersonProperty,0
hear,hear,s,SpaceRelation,0
you,you,c,DirectAddress,0
?,?,s,Question,0
Will,will,s,PredictedFuture,0
you,you,s,DirectAddress,0
betray,betray,s,Negative_Relation,0
all,all,c,,0
?,?,n,Question,0
Hark,hark,c,Immediacy,0
",",",",s,,0
I,i,s,FirstPer,0
hear,hear,s,SpaceRelation,0
some,some,s,Uncertainty,0
body,body,c,SenseObject,0
.,.,nn,,0
Srah,srah,c,UNRECOGNIZED,0
.,.,nn,,0
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
mar,mar,n,SenseObject,0
All,all,s,Generalization,0
that,that,s,Generalization,1
the,the,s,,0
Tailor,tailor,s,PersonProperty,0
has,has,s,,0
made,made,c,ReportingStates,0
",",",",s,ReportingStates,1
if,if,s,Contingency,0
you,you,s,DirectAddress,0
approach,approach,c,AbstractConcepts,0
.,.,nn,,0
You,you,s,DirectAddress,0
most,most,s,Comparison,0
notorious,notorious,s,Negativity,0
whelpe,whelpe,c,UNRECOGNIZED,0
",",",",s,,0
you,you,s,DirectAddress,0
insolent,insolent,s,StandardsNeg,0
slave,slave,c,PersonProperty,0
",",",",n,,0
Dare,dare,s,DirectAddress,0
you,you,s,DirectAddress,1
do,do,s,Intensity,0
this,this,c,,0
?,?,nn,Question,0
Yes,yes,s,DirectAddress,0
faith,faith,c,StandardsPos,0
",",",",s,,0
yes,yes,s,DirectAddress,0
faith,faith,c,StandardsPos,0
.,.,nn,Question,0
Why,why,c,Question,1
!,!,s,,0
who,who,n,SelfDisclosure,0
Am,am,s,SelfDisclosure,1
I,i,c,SelfDisclosure,2
",",",",s,,0
my,my,s,FirstPer,0
Mungrill,mungrill,c,UNRECOGNIZED,0
?,?,s,Question,0
Who,who,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
I,i,c,SelfDisclosure,2
?,?,nn,Question,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
tell,tell,s,DirectAddress,0
you,you,c,DirectAddress,1
",",",",n,ReasonForward,0
Since,since,s,ReasonForward,1
you,you,s,DirectAddress,0
know,know,s,DirectAddress,1
not,not,s,DenyDisclaim,0
your,your,s,DirectAddress,0
self,self,c,SubjectivePercept,0
.,.,nn,Imperative,0
Speak,speak,s,Imperative,1
lower,lower,c,Comparison,0
",",",",s,,0
Rogue,rogue,c,Negativity,0
.,.,nn,,0
Yes,yes,c,DirectAddress,0
.,.,s,,0
You,you,s,DirectAddress,0
were,were,s,ProjectBack,0
once,once,s,TimeShift,0
(,(,c,,0
time's,time's,s,,0
not,not,s,DenyDisclaim,0
long,long,s,DenyDisclaim,1
past,past,c,AbstractConcepts,0
),),s,,0
the,the,s,Positivity,0
good,good,c,Positivity,1
",",",",n,,0
Honest,honest,c,StandardsPos,0
",",",",s,,0
plain,plain,c,SenseProperty,0
",",",",s,,0
liuerie-three-pound-Thrum,liuerie-three-pound-thrum,c,UNRECOGNIZED,0
;,;,s,,0
that,that,s,,0
kept,kept,n,DirectAddress,0
Your,your,s,DirectAddress,1
Masters,masters,s,StandardsPos,0
worships,worships,s,Positivity,0
house,house,c,SenseObject,0
",",",",s,,0
here,here,c,SpaceRelation,0
",",",",s,SpaceRelation,1
in,in,s,,0
the,the,s,,0
Friars,friars,c,PersonProperty,0
",",",",n,ReasonForward,0
For,for,s,ReasonForward,1
the,the,s,,0
vacations,vacations,c,Positivity,0
.,.,nn,Request,0
Will,will,s,Request,1
you,you,s,Request,2
be,be,s,ReportingStates,0
so,so,s,,0
loud,loud,c,SenseProperty,0
?,?,nn,Question,0
Since,since,c,,0
",",",",s,,0
by,by,s,,0
my,my,s,FirstPer,0
means,means,c,Definition,0
",",",",s,Definition,1
translated,translated,s,ReportingEvents,0
Suburb-Captaine,suburb-captaine,c,UNRECOGNIZED,0
.,.,nn,,0
By,by,s,DirectAddress,0
your,your,s,DirectAddress,1
means,means,c,Definition,0
",",",",s,Definition,1
Doctor,doctor,s,PersonProperty,0
Dog,dog,c,SenseObject,0
?,?,nn,Question,0
Within,within,s,,0
man's,man's,s,PersonProperty,0
memory,memory,c,PrivateThinking,0
",",",",n,Generalization,0
All,all,s,Generalization,1
this,this,c,Immediacy,0
",",",",s,Immediacy,1
I,i,s,FirstPer,0
speak,speak,s,Citations,0
of,of,c,Citations,1
.,.,nn,Question,0
Why,why,c,Question,1
",",",",s,Question,2
I,i,s,FirstPer,0
pray,pray,s,Intensity,0
you,you,c,DirectAddress,0
",",",",s,,0
have,have,s,Question,0
I,i,n,Question,1
Been,been,s,ProjectBack,0
countenanced,countenanced,s,ReportingEvents,0
by,by,s,DirectAddress,0
you,you,c,DirectAddress,1
?,?,s,Question,0
or,or,s,,0
you,you,c,DirectAddress,0
",",",",s,,0
by,by,s,Cause,0
me,me,c,Cause,1
?,?,n,Question,0
Do,do,s,Intensity,0
but,but,s,Resistance,0
collect,collect,c,ReportingEvents,0
",",",",s,,0
Sr,sr,c,UNRECOGNIZED,0
.,.,s,Question,0
where,where,s,Question,1
I,i,s,FirstPer,0
met,met,s,ReportingEvents,0
you,you,s,DirectAddress,0
first,first,c,Sequence,0
.,.,nn,Sequence,1
I,i,s,FirstPer,0
do,do,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
hear,hear,s,SpaceRelation,0
well,well,c,StandardsPos,0
.,.,nn,StandardsPos,1
Not,not,s,DenyDisclaim,0
of,of,s,Specifiers,0
this,this,c,Specifiers,1
",",",",s,,0
I,i,s,SelfDisclosure,0
think,think,s,SelfDisclosure,1
it,it,c,,0
.,.,n,Resistance,0
But,but,s,Resistance,1
I,i,s,Metadiscourse,0
shall,shall,s,Metadiscourse,1
put,put,s,DirectAddress,0
you,you,s,DirectAddress,1
in,in,s,PrivateThinking,0
mind,mind,c,PrivateThinking,1
",",",",s,,0
Sr,sr,c,UNRECOGNIZED,0
.,.,s,,0
at,at,s,,0
Pie-Corner,pie-corner,c,UNRECOGNIZED,0
",",",",n,,0
Taking,taking,s,ReportingEvents,0
your,your,s,DirectAddress,0
meal,meal,s,GenericEvents,0
of,of,s,,0
steeme,steeme,s,UNRECOGNIZED,0
in,in,c,,0
",",",",s,,0
from,from,s,,0
Cooks,cooks,s,ReportingEvents,0
stalls,stalls,n,SpaceRelation,0
Where,where,c,,0
",",",",s,,0
like,like,s,Resemblances,0
the,the,s,Resemblances,1
Father,father,s,PersonProperty,0
of,of,s,PersonProperty,1
Hunger,hunger,c,Negativity,0
",",",",s,,0
you,you,s,DirectAddress,0
did,did,s,ReportingEvents,0
walk,walk,n,Motions,0
Pi^eously,pi^eously,s,UNRECOGNIZED,0
costiue,costiue,s,UNRECOGNIZED,0
with,with,s,DirectAddress,0
your,your,s,DirectAddress,1
pinched,pinched,s,SenseProperty,0
horne-nose,horne-nose,c,UNRECOGNIZED,0
",",",",n,,0
And,and,s,,0
your,your,s,DirectAddress,0
complexion,complexion,c,SenseProperty,0
",",",",s,,0
of,of,s,,0
the,the,s,,0
Roman^,roman^,s,UNRECOGNIZED,0
wash,wash,c,Motions,0
",",",",n,,0
Stuck,stuck,s,Motions,0
full,full,s,Specifiers,0
of,of,s,Specifiers,1
black,black,c,SenseProperty,0
",",",",s,,0
and,and,s,,0
melancholique,melancholique,s,UNRECOGNIZED,0
worms,worms,c,SenseObject,0
",",",",n,,0
Like,like,s,SubjectivePercept,0
poulder,poulder,s,UNRECOGNIZED,0
corns,corns,c,SenseObject,0
",",",",s,,0
shot,shot,c,ReportingStates,0
",",",",s,ReportingStates,1
at,at,s,SpaceRelation,0
the,the,s,SpaceRelation,1
Artillery-yard,artillery-yard,c,UNRECOGNIZED,0
.,.,nn,,0
I,i,s,FirstPer,0
wish,wish,c,SubjectivePercept,0
",",",",s,,0
you,you,s,DirectAddress,0
could,could,s,DirectAddress,1
advance,advance,s,ReportingEvents,0
your,your,s,DirectAddress,0
voice,voice,c,,0
",",",",s,,0
a,a,s,SubjectivePercept,0
little,little,c,SubjectivePercept,1
.,.,nn,SubjectivePercept,2
When,when,s,DirectAddress,0
you,you,s,DirectAddress,1
went,went,s,ReportingEvents,0
pinned,pinned,s,Motions,0
up,up,c,Motions,1
",",",",s,,0
in,in,s,,0
the,the,s,,0
several,several,s,Specifiers,0
rags,rags,c,SenseObject,0
",",",",n,,0
Yo'had,yo'had,s,UNRECOGNIZED,0
raked,raked,c,Motions,0
",",",",s,,0
and,and,s,,0
picked,picked,s,ReportingEvents,0
from,from,s,,0
dungh^s,dungh^s,c,UNRECOGNIZED,0
",",",",s,,0
before,before,s,Sequence,0
day,day,c,TimeDuration,0
",",",",n,,0
Your,your,s,DirectAddress,0
feet,feet,s,SenseObject,0
in,in,s,,0
moldy,moldy,s,SenseProperty,0
s^ppers,s^ppers,c,UNRECOGNIZED,0
",",",",s,ReasonForward,0
for,for,s,ReasonForward,1
your,your,s,DirectAddress,0
kibes,kibes,c,Negativity,0
",",",",n,,0
A,a,s,,0
felt,felt,s,PrivateThinking,0
of,of,s,PrivateThinking,1
rugg,rugg,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
a,a,s,,0
thin,thin,s,SenseProperty,0
thredden,thredden,s,UNRECOGNIZED,0
cloak,cloak,c,SenseObject,0
",",",",n,,0
That,that,s,,0
scarce,scarce,s,Negativity,0
would,would,s,ProjectBack,0
cover,cover,s,AbstractConcepts,0
your,your,s,DirectAddress,0
no-buttockes,no-buttockes,c,UNRECOGNIZED,0
.,.,nn,ReasonForward,0
So,so,s,ReasonForward,1
Sr,sr,c,UNRECOGNIZED,0
.,.,nn,Question,0
When,when,s,Question,1
all,all,s,DirectAddress,0
your,your,s,DirectAddress,1
Alchemye,alchemye,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
your,your,s,DirectAddress,0
Algebra,algebra,c,AbstractConcepts,0
",",",",n,,0
Your,your,s,DirectAddress,0
Mineralls,mineralls,c,UNRECOGNIZED,0
",",",",s,,0
Vegetalls,vegetalls,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
Animalls,animalls,c,UNRECOGNIZED,0
",",",",n,,0
Your,your,s,DirectAddress,0
Coniuring,coniuring,c,UNRECOGNIZED,0
",",",",s,,0
Cosning,cosning,c,UNRECOGNIZED,0
",",",",s,,0
and,and,s,,0
your,your,s,DirectAddress,0
dosen,dosen,s,UNRECOGNIZED,0
of,of,s,AbstractConcepts,0
Trades,trades,n,AbstractConcepts,1
Could,could,s,DenyDisclaim,0
not,not,s,DenyDisclaim,1
relieve,relieve,s,Reassure,0
your,your,s,Reassure,1
corpse,corpse,c,SenseObject,0
",",",",s,,0
with,with,s,,0
so,so,s,Intensity,0
much,much,s,Intensity,1
linen,linen,n,SenseObject,0
Would,would,s,Contingency,0
make,make,s,Contingency,1
you,you,s,DirectAddress,0
tinder,tinder,c,SenseObject,0
",",",",s,Resistance,0
but,but,s,Resistance,1
to,to,s,ProjectAhead,0
see,see,s,ProjectAhead,1
a,a,s,SenseObject,0
fire,fire,c,SenseObject,1
;,;,n,,0
I,i,s,FirstPer,0
ga'you,ga'you,s,UNRECOGNIZED,0
countenance,countenance,c,SenseObject,0
",",",",s,,0
credit,credit,s,StandardsPos,0
for,for,s,StandardsPos,1
your,your,s,DirectAddress,0
Coals,coals,c,SenseObject,0
",",",",n,,0
Your,your,s,DirectAddress,0
Stilles,stilles,c,UNRECOGNIZED,0
",",",",s,,0
your,your,s,DirectAddress,0
Glasses,glasses,c,SenseObject,0
",",",",s,,0
your,your,s,DirectAddress,0
Materials,materials,c,AbstractConcepts,0
",",",",n,,0
Built,built,s,ReportingEvents,0
you,you,s,DirectAddress,0
a,a,s,SenseObject,0
Furnace,furnace,c,SenseObject,1
",",",",s,,0
drew,drew,s,ReportingEvents,0
you,you,s,DirectAddress,0
Customers,customers,c,PersonProperty,0
",",",",n,,0
Advanced,advanced,s,ReportingEvents,0
all,all,s,DirectAddress,0
your,your,s,DirectAddress,1
black,black,s,Negativity,0
Arts,arts,c,Negativity,1
;,;,s,,0
lent,lent,s,AbstractConcepts,0
you,you,c,DirectAddress,0
",",",",s,,0
beside,beside,c,SpaceRelation,0
.,.,n,,0
A,a,s,SenseObject,0
house,house,s,SenseObject,1
to,to,s,,0
practice,practice,s,GenericEvents,0
in,in,c,,0
.,.,nn,,0
Your,your,s,DirectAddress,0
Masters,masters,s,StandardsPos,0
house,house,c,SenseObject,0
?,?,nn,Question,0
Where,where,s,DirectAddress,0
you,you,s,DirectAddress,1
have,have,s,DirectAddress,2
studied,studied,s,Narrative_Verbs,0
the,the,s,Narrative_Verbs,1
more,more,s,Comparison,0
thriuing,thriuing,s,UNRECOGNIZED,0
skill,skill,n,StandardsPos,0
Of,of,s,StandardsPos,1
Bawdry,bawdry,c,SubjectivePercept,0
",",",",s,ReasonForward,0
since,since,c,ReasonForward,1
.,.,nn,,0
Yes,yes,c,OralCues,0
",",",",s,OralCues,1
in,in,s,DirectAddress,0
your,your,s,DirectAddress,1
Masters,masters,s,StandardsPos,0
house,house,c,SenseObject,0
.,.,n,,0
You,you,c,DirectAddress,0
",",",",s,,0
and,and,s,,0
the,the,s,,0
Rats,rats,c,SenseObject,0
",",",",s,,0
here,here,c,SpaceRelation,0
",",",",s,SpaceRelation,1
kept,kept,s,TimeDuration,0
possession,possession,c,AbstractConcepts,0
.,.,n,Imperative,0
Make,make,s,Imperative,1
it,it,s,,0
not,not,s,DenyDisclaim,0
strange,strange,c,SubjectivePercept,0
.,.,s,,0
I,i,s,FirstPer,0
know,know,c,Confidence,0
",",",",s,,0
you,you,s,DirectAddress,0
were,were,s,ProjectBack,0
one,one,c,Numbers,0
",",",",s,,0
could,could,s,Contingency,0
keep,keep,n,TimeDuration,0
The,the,s,,0
Buttry-hatch,buttry-hatch,s,UNRECOGNIZED,0
still,still,s,Updates,0
locked,locked,c,ReportingStates,0
",",",",s,ReportingStates,1
and,and,s,,0
save,save,s,StandardsPos,0
the,the,s,StandardsPos,1
chippings,chippings,c,UNRECOGNIZED,0
",",",",n,,0
Sell,sell,s,GenericEvents,0
the,the,s,,0
dole-beere,dole-beere,s,UNRECOGNIZED,0
to,to,s,,0
Aqua-v^tae,aqua-v^tae,s,UNRECOGNIZED,0
men,men,c,PersonProperty,0
",",",",n,,0
The,the,s,,0
which,which,c,,0
",",",",s,,0
together,together,s,Inclusive,0
with,with,s,Inclusive,1
your,your,s,DirectAddress,0
Christmasse,christmasse,s,UNRECOGNIZED,0
vailes,vailes,c,UNRECOGNIZED,0
",",",",n,,0
At,at,s,,0
Post,post,c,AbstractConcepts,0
",",",",s,,0
and,and,s,,0
Pair,pair,c,AbstractConcepts,0
",",",",s,,0
your,your,s,DirectAddress,0
letting,letting,s,SpaceRelation,0
out,out,s,SpaceRelation,1
of,of,s,,0
Counters,counters,c,AbstractConcepts,0
",",",",n,,0
Made,made,s,DirectAddress,0
you,you,s,DirectAddress,1
a,a,s,DirectAddress,2
pretty,pretty,s,SubjectivePercept,0
stock,stock,s,AbstractConcepts,0
some,some,s,Uncertainty,0
twenty,twenty,s,Numbers,0
marks,marks,c,AbstractConcepts,0
",",",",n,,0
And,and,s,,0
gave,gave,s,DirectAddress,0
you,you,s,DirectAddress,1
credit,credit,c,StandardsPos,0
",",",",s,,0
to,to,s,,0
converse,converse,s,SpaceRelation,0
with,with,s,SpaceRelation,1
cobwebs,cobwebs,c,SenseObject,0
",",",",n,,0
Here,here,c,SpaceRelation,0
",",",",s,SpaceRelation,1
since,since,s,,0
your,your,s,DirectAddress,0
Mistress,mistress,s,PersonProperty,0
death,death,s,Negativity,0
has,has,s,,0
broke,broke,s,Negativity,0
up,up,s,Negativity,1
house,house,c,SenseObject,0
.,.,nn,,0
You,you,s,DirectAddress,0
might,might,s,DirectAddress,1
talk,talk,s,ReportingEvents,0
softlier,softlier,c,UNRECOGNIZED,0
",",",",s,,0
Rascal,rascal,c,Negativity,0
.,.,nn,,0
No,no,c,DirectAddress,0
",",",",s,DirectAddress,1
you,you,s,DirectAddress,2
Scarabe,scarabe,c,UNRECOGNIZED,0
",",",",n,,0
I,i,s,FirstPer,0
Will,will,s,PredictedFuture,0
thunder,thunder,s,SenseObject,0
you,you,c,DirectAddress,0
",",",",s,,0
in,in,s,SenseProperty,0
pieces,pieces,c,SenseProperty,1
.,.,s,,0
I,i,s,FirstPer,0
will,will,s,PredictedFuture,0
teach,teach,s,ReportingEvents,0
you,you,n,DirectAddress,0
How,how,s,Curiosity,0
to,to,s,Curiosity,1
beware,beware,c,Negativity,0
",",",",s,,0
to,to,s,,0
tempt,tempt,s,SubjectivePercept,0
a,a,s,,0
Fury,fury,c,Anger,0
',',s,,0
again,again,n,RecurringEvents,0
That,that,s,,0
carries,carries,s,Motions,0
tempest,tempest,s,Negativity,0
in,in,s,Specifiers,0
his,his,s,Specifiers,1
hand,hand,c,SenseObject,0
",",",",s,,0
and,and,s,,0
voice,voice,c,,0
.,.,nn,,0
The,the,s,SpaceRelation,0
Place,place,s,SpaceRelation,1
has,has,s,,0
made,made,s,DirectAddress,0
you,you,s,DirectAddress,1
valiant,valiant,c,StandardsPos,0
.,.,nn,,0
No,no,c,OralCues,0
",",",",s,OralCues,1
your,your,s,DirectAddress,0
Clothes,clothes,c,SenseObject,0
.,.,n,,0
Thou,thou,s,DirectAddress,0
Vermin,vermin,s,Negativity,0
have,have,s,Question,0
I,i,s,Question,1
taken,taken,s,ProjectBack,0
thee,thee,c,DirectAddress,0
",",",",s,,0
out,out,s,,0
of,of,s,,0
dung,dung,c,SenseObject,0
",",",",n,ReasonForward,0
So,so,s,ReasonForward,1
poor,poor,c,Negativity,0
",",",",s,ReasonForward,0
so,so,s,ReasonForward,1
wretched,wretched,c,Negativity,0
",",",",s,,0
when,when,s,,0
no,no,s,DenyDisclaim,0
living,living,s,AbstractConcepts,0
thing,thing,n,AbstractConcepts,1
Would,would,s,ProjectBack,0
keep,keep,s,TimeDuration,0
thee,thee,s,DirectAddress,0
company,company,c,AbstractConcepts,0
",",",",s,Resistance,0
but,but,s,Resistance,1
a,a,s,,0
Spider,spider,c,SenseObject,0
",",",",s,,0
or,or,s,,0
worse,worse,c,Negativity,0
?,?,n,Question,0
Raysd,raysd,s,UNRECOGNIZED,0
thee,thee,s,DirectAddress,0
from,from,s,,0
broomes,broomes,c,UNRECOGNIZED,0
